,position,company,city,compensation_min,compensation_max,compensation_currency
0,Senior Data Scientist / Главный риск-аналитик в отдел корпоративных риск-моделей," ЗЕНИТ, банк","Москва, Нахимовский проспект",220000.0,250000.0,RUB
1,Data Scientist,ООО Изибрэйн,"Минск, Молодежная",,,
2,Data Scientist,ООО Ак Барс Цифровые Технологии,"Казань, Козья слобода",,,
3,Data Scientist,ООО Цифроматика,"Санкт-Петербург, Площадь Восстания",200000.0,,RUB
4,Data Scientist (NLP), M-soft,Киев,3000.0,4000.0,RUB
5,Data Scientist (NLP), M-soft,Минск,3000.0,4000.0,RUB
6,Аналитик данных / Data Scientist, Открытые Технологии,Москва,120000.0,180000.0,RUB
7,Data Scientist / Machine Learning Developer, CoolRocket Team,Новосибирск,,,
8,Data Scientist (deep learning)," Mail.Ru Group, Социальные сети, Одноклассники",Санкт-Петербург,,,
9,Data Scientist," Wargaming, Minsk (Game Stream)","Минск, Могилевская",,,
10,Data Scientist, Samsung Research Center,"Москва, Савеловская",,,
11,Data Scientist, Червоний маркет,"Киев, Берестейская",30000.0,,RUB
12,Data Scientist (emotion detection), ЦРТ | Группа компаний,Санкт-Петербург,,,
13,Data Scientist,ОАО Оммет,Омск,,,
14,Специалист по анализу данных / Data Scientist (Middle / Senior),ООО АлгоМост,"Москва, Маяковская",,,
15,Data scientist,ООО РУСАЛ-Центр учета,Красноярск,,,
16,ML Engineer / Data Scientist, FUSION CORE,"Москва, Сокол",,,
17,"Ведущий специалист / data scientist (big data, прогностическая аналитика, data mining)",ЗАО Прогностические решения,"Москва, Кузнецкий мост",150000.0,,RUB
18,Data Scientist Специалист по анализу данных в области машинного обучения,ООО Квантидеск,Москва,,,
19,Data Scientist (NLP), GlobalCareer,Москва,,,
20,Data Scientist (speech synthesis), ЦРТ | Группа компаний,"Санкт-Петербург, Фрунзенская",,,
21,Data Scientist (Санкт-Петербург), ЦРТ | Группа компаний,Казань,,,
22,Разработчик нейронных сетей (data scientist), Лаборатория НТР,Москва,,,
23,Junior Data scientist,ООО МФК Займ Онлайн,"Москва, Динамо и еще 1 ",,,
24,Data Scientist (Академгородок),ООО ЭЛСИ ГРУПП,Новосибирск,,,
25,Data Scientist (Санкт-Петербург), ЦРТ | Группа компаний,Томск,,,
