,position,company,city,compensation_min,compensation_max,compensation_currency
0,Data scientist, Билайн,Москва,,,
1,Senior Data Scientist / Главный риск-аналитик в отдел корпоративных риск-моделей," ЗЕНИТ, банк","Москва, Нахимовский проспект",220000.0,250000.0,RUB
2,Data scientist,"ПАО МегаФон, IT",Екатеринбург,,,
3,Data Scientist,ООО Изибрэйн,"Минск, Молодежная",,,
4,Senior Data scientist, ANCOR FinTech,Нижний Новгород,,,
5,Data Scientist,ООО Ак Барс Цифровые Технологии,"Казань, Козья слобода",,,
6,Data Scientist,ООО Цифроматика,"Санкт-Петербург, Площадь Восстания",200000.0,,RUB
7,Data scientist (NLP/NLU), ДомКлик,Москва,,,
8,Data Scientist (NLP), M-soft,Киев,187221.3,249628.4,RUB
9,Data Scientist (NLP), M-soft,Минск,187221.3,249628.4,RUB
10,Аналитик данных / Data Scientist, Открытые Технологии,Москва,120000.0,180000.0,RUB
11,Data Scientist / Machine Learning Developer, CoolRocket Team,Новосибирск,,,
12,Data Scientist (deep learning)," Mail.Ru Group, Социальные сети, Одноклассники",Санкт-Петербург,,,
13,Senior Data scientist (Нижний Новгород), ANCOR FinTech,Казань,,,
14,Data Scientist, ЭР-Телеком,Пермь,,,
15,Senior Data scientist (Нижний Новгород), ANCOR FinTech,Владимир,,,
16,Data Scientist," Wargaming, Minsk (Game Stream)","Минск, Могилевская",,,
17,Data Scientist, Samsung Research Center,"Москва, Савеловская",,,
18,Data Scientist, Червоний маркет,"Киев, Берестейская",80208.0,,RUB
19,Data Scientist (emotion detection), ЦРТ | Группа компаний,Санкт-Петербург,,,
20,Data Scientist,ОАО Оммет,Омск,,,
21,Специалист по анализу данных / Data Scientist (Middle / Senior),ООО АлгоМост,"Москва, Маяковская",,,
22,Data scientist,ООО РУСАЛ-Центр учета,Красноярск,,,
23,ML Engineer / Data Scientist, FUSION CORE,"Москва, Сокол",,,
24,"Ведущий специалист / data scientist (big data, прогностическая аналитика, data mining)",ЗАО Прогностические решения,"Москва, Кузнецкий мост",150000.0,,RUB
25,Senior Data scientist (Нижний Новгород), ANCOR FinTech,Екатеринбург,,,
26,Data Scientist Специалист по анализу данных в области машинного обучения,ООО Квантидеск,Москва,,,
27,Data Scientist (NLP), GlobalCareer,Москва,,,
28,Разработчик нейронных сетей (data scientist), Лаборатория НТР,Москва,,,
29,Data Scientist (speech synthesis), ЦРТ | Группа компаний,"Санкт-Петербург, Фрунзенская",,,
30,Data Scientist (Санкт-Петербург), ЦРТ | Группа компаний,Казань,,,
31,Junior Data scientist,ООО МФК Займ Онлайн,"Москва, Динамо и еще 1 ",,,
32,Data Scientist (Академгородок),ООО ЭЛСИ ГРУПП,Новосибирск,,,
33,Data scientist / Специалист машинного обучения, Банк ВТБ (ПАО),Москва,,,
34,Data Scientist (Санкт-Петербург), ЦРТ | Группа компаний,Томск,,,
35,Computer Vision / Data scientist CV, DeLight Group,Москва,,,
36,Senior data scientist, Билайн,Москва,,,
37,Data Scientist / Machine Learning Engineer ( на Кипр ), Wisebits,Москва,,,
38,Data Scientist / Data Engineer (Recommendations), Авито,Москва,,,
39,Аналитик-математик (Data scientist),ООО БиАйЭй-Технолоджиз,"Санкт-Петербург, Фрунзенская",,,
40,Senior Data Scientist, Nielsen,"Москва, Тушинская",,,
41,Data Scientist,ПАО МТС Банк,"Москва, Технопарк",,,
42,Стажер Data Scientist, Сибур,Томск,,,
43,Data Scientist / Machine Learning Engineer ( на Кипр ), Wisebits,Санкт-Петербург,,,
44,Data Scientist,"ПАО МегаФон, IT",Нижний Новгород,,,
45,Lead Data Engineer/Data Scientist, Сбербанк для экспертов,Санкт-Петербург,,,
46,Senior Data Scientist (Академгородок),ООО ЭЛСИ ГРУПП,Новосибирск,,,
47,Data Science, Grid Dynamics,Казань,,,
48,Computer Vision Data Scientist,ООО ЛокоТех,Москва,,,
49,Менеджер по аналитике клиентских данных (Data analyst/ Data scientist),ООО МОНЭКС ТРЕЙДИНГ,"Москва, Савеловская",,,
50,Data Scientist (Computer Vision), Тинькофф,"Москва, Водный стадион",,,
51,Data Scientist / ML Engineer, Polymedia,"Москва, Профсоюзная и еще 1 ",,,
52,Data Engineer, Сбербанк для экспертов,Санкт-Петербург,,,
53,Big Data developer (Data Science platform)," Mail.Ru Group, Социальные сети, Одноклассники","Москва, Аэропорт",,,
