,position,company,city,compensation_min,compensation_max,compensation_currency
0,Бизнес-аналитик,DOSTAЕВСКИЙ,Санкт-Петербург,80000.0,,RUB
1,Аналитик 1С,Мария-РА,Барнаул,35000.0,,RUB
2,Аналитик (Data Scientist),МТС,Екатеринбург,,,
3,"Главный кредитный аналитик (средний, крупный бизнес)",Банк ВТБ,Челябинск,40000.0,,RUB
4,Кредитный аналитик,Промсвязьбанк,Калининград,,,
5,Бизнес-аналитик,Охранная Организация АН-Секьюрити,"Санкт-Петербург,Ладожская, Новочеркасская",50000.0,,RUB
6,Маркетолог-аналитик,Армалит,"Санкт-Петербург,Кировский завод",46000.0,,RUB
7,Начальник сектора кредитных аналитиков,Сбербанк России,Пятигорск,,,
8,Главный аналитик по обработке сведений,Правительство Москвы,Москва,,,
9,Бизнес-аналитик 1С,Русская кожа,Рязань,54800.0,,RUB
10,Главный кредитный аналитик (средний и крупный бизнес),БАНК УРАЛСИБ,Санкт-Петербург,,,
11,Бизнес-аналитик,Уральская горно-металлургическая компания,Екатеринбург,,,
12,Системный аналитик (ДБО),Банк ВТБ (ПАО),"Москва,Кузнецкий мост",,,
13,Ведущий аналитик (направление проектов казначейства),«Деловые Линии»,Санкт-Петербург,,,
14,Аналитик / Специалист по отчётности,КИВИ Банк,Воронеж,,,
15,Бизнес-аналитик WMS (Крёкшино),ЛУДИНГ,Москва,,,
16,Аналитик-экономист,,Саратов,25000.0,40000.0,RUB
17,Ведущий аналитик по планированию,"«Модный Континент» (бренды INCITY, DESEO)","Москва,Деловой центр",,,
18,Аналитик рынка,ЭР-Телеком,Пермь,,,
19,Маркетолог-аналитик,"ПО Ундоровский завод минеральной воды ""Волжанка""",Ульяновск,35000.0,39000.0,RUB
20,Аналитик-консультант 1C:ERP,НПО СПАРК,"Санкт-Петербург,Московская",60000.0,,RUB
21,Экономист-аналитик продаж,"Тамерлан Сеть универсамов ""Покупочка""",Волгоград,34500.0,40300.0,RUB
22,Аналитик службы безопасности (специалист по видеонаблюдению),О'КЕЙ,Москва,34000.0,41000.0,RUB
23,Финансовый аналитик,Такси «Шоколад»,"Москва,Нагатинская",,,
24,Бизнес-аналитик,Мособлгаз,Одинцово,,,
25,Аналитик,Росгосстрах,Кемерово,28000.0,,RUB
26,Экономист-аналитик,"Банк ""Восточный""",Хабаровск,34800.0,,RUB
27,Менеджер-аналитик по отчетности и планированию / Отдел по работе с валовым доходом,"Магнит, Розничная сеть",Санкт-Петербург,79000.0,,RUB
28,Аналитик по работе с монобрендовой сетью,Триколор,"Санкт-Петербург,Электросила",,,
29,Аналитик (розничная сеть),Объединенный кондитеры,"Москва,Красносельская",70000.0,,RUB
30,"Руководитель отдела аналитики (реальный бизнес, интересные задачи)",Кадровое агентство уникальных специалистов,Москва,200000.0,,RUB
31,Маркетолог-аналитик,АРОСА,Москва,,,
32,Ведущий экономист (кредитный аналитик),ЖИВАГО БАНК,Рязань,30700.0,,RUB
33,"Руководитель отдела маркетинга и аналитики (замороженные полуфабрикаты, колбаса, пиво, напитки)","ООО ""МЕРИЛЕН""",Хабаровск,60000.0,,RUB
34,Системный аналитик (HR-системы),О'КЕЙ,Санкт-Петербург,,,
35,Аналитик,ИК СИБИНТЕК,Рязань,33000.0,,RUB
36,Руководитель отдела аналитики казначейства,"Банк ""Восточный""",Москва,,,
37,Аналитик сектора сопровождения документооборота,Правительство Москвы,Москва,,,
38,Аналитик отдела продаж (розничный канал),Ростелеком,Хабаровск,,,
39,Менеджер отдела развития СТМ (Аналитик),Фармаимпекс,Ижевск,40000.0,,RUB
40,Главный специалист по аналитике,"АО ""Почта России""",Ижевск,24000.0,,RUB
41,Аналитик по сопровождению инвестиционного процесса,МегаФон,Хабаровск,,,
42,Бизнес-аналитик,Hr-building,Москва,,,
43,Менеджер-аналитик интернет-магазина,Самсон-опт,Воронеж,52700.0,,RUB
44,Аналитик 1С ЗУП,ИК СИБИНТЕК,Саратов,,,
45,Товаровед-аналитик,ПРОСТОЧАЕВО,Саратов,,,
46,Аналитик в отдел маркетинга,Персонал-Консалтинг Плюс,Саратов,,,
47,Маркетолог-аналитик,Чекотова П. А. Фортуна,Иркутск,40000.0,,RUB
48,Системный аналитик,АльфаСтрахование-ОМС,Кемерово,,,
49,Маркетолог-аналитик,Эником Невада групп,Хабаровск,,,
50,Аналитик отдела управления качеством,КРИТ,Ижевск,60000.0,,RUB
51,Старший кредитный аналитик,Сетелем Банк,"Москва,Савеловская",,,
52,Консультант-аналитик Axapta (Microsoft Dynamics AX 2009-логистика),,Москва,,,
53,Аналитик баз данных (SQL),Леонардо,"Москва,Авиамоторная",80000.0,,RUB
54,Аналитик кассовых операций,Буквоед,"Санкт-Петербург,Площадь Ленина",35000.0,40000.0,RUB
55,Аналитик / Специалист по товарному движению,"Магнит, Розничная сеть",Калуга,,,
56,Аналитик,Санкт-Петербургское государственное казенное учреждение «Центр информационного сопровождения»,"Санкт-Петербург,Петроградская",57000.0,,RUB
57,Аналитик,МФТИ ГУ,"Москва,Сходненская, Алтуфьево и ещё 1 станция",52200.0,,RUB
58,Менеджер ИТ-проектов (Бизнес-аналитик),Улыбка Радуги,"Санкт-Петербург,Электросила",,,
59,Аналитик отдела продаж,Ростелеком,Ижевск,43000.0,,RUB
60,Ведущий химик-аналитик,«Группа ГУТА»,"Москва,Бауманская",69975.0,,RUB
61,Аналитик данных,Сбербанк России,Санкт-Петербург,,,
62,Системный аналитик,КРИТ,Ижевск,45000.0,,RUB
63,Аналитик систем бизнес-анализа,Росгосстрах,Краснодар,,,
64,Бизнес-аналитик 1С,Либхерр-Русланд,Москва,200000.0,,RUB
65,"Аналитик данных (SQL, JavaScript)",Роборокс,"Москва,Павелецкая",50000.0,,RUB
66,Программист-аналитик 1С,Кадровый Центр на Сокольнической Площади,Москва,76000.0,,RUB
67,Аналитик кухонного направления продаж,dmi Дятьково,Дятьково,30000.0,,RUB
68,Бизнес-аналитик,ГЛОРИЯ ДЖИНС,Москва,,,
69,Аналитик,Кредит Инкасо Рус,Рязань,,,
70,Кредитный аналитик,Прио-Внешторгбанк,Рязань,26000.0,,RUB
71,Аналитик-тестировщик 1С,Кадровое агентство Юнити,Москва,140000.0,,RUB
72,Аналитик,Правительство Тульской области,Тула,30000.0,,RUB
73,Системный аналитик / Ведущий системный администратор,СДН (SDN),Санкт-Петербург,81000.0,,RUB
74,Аналитик-разработчик C#,Деловые Линии,"Санкт-Петербург,Московская",,,
75,Бизнес-аналитик отдела бизнес-анализа,ФГБОУ Тольяттинский государственный университет,Тольятти,30000.0,,RUB
76,Консультант-аналитик 1С,"НПФ ""Промавтоматика""",Рязань,,,
77,Аналитик-разработчик 1С (ERP: направление Логистика),Компания SIMPLE,"Москва,Полежаевская, Хорошёвская и ещё 1 станция",,,
78,Аналитик отдела продаж,РосТурПласт,Коломна,50000.0,,RUB
79,Консультант-аналитик 1С,Бизнес Консалт,Москва,120000.0,150000.0,RUB
80,Аналитик (HR),Дикси Групп,Москва,52200.0,57420.0,RUB
81,Аналитик базы данных (ведущий специалист),Правительство Москвы,"Москва,Полежаевская",53609.0,,RUB
82,Бизнес-аналитик 1С,Hoff,Клин,,,
83,Аналитик,Евросеть,Подольск,,,
84,Инвестиционный аналитик,МГТС,Москва,,,
85,Специалист по планированию межфилиальных перемещений / Аналитик,PepsiCo,Владивосток,,,
86,Экономист-аналитик,ППО ЭВТ имени В. А. Ревунова,Пенза,30000.0,,RUB
87,Аналитик,"ПКФ ""Экс-Форма""",Саратов,,,
88,Аналитик бизнес-процессов,Otto Group Russia,Тверь,,,
89,Аналитик отдела продаж (отопительное оборудование),Анкор,Москва,,,
90,Аналитик,НИИОЗММ ДЗМ,Москва,,,
91,Координатор-аналитик,Лукашов Д. В. (Капитан),Владимир,25000.0,,RUB
92,Интеграционный аналитик (страхование),Кадровое агентство Юнити,Москва,160000.0,,RUB
93,Системный аналитик 1С (прямое страхование),Кадровое агентство Юнити,Москва,160000.0,,RUB
94,Экономист-аналитик,Контрольно-ревизионное управление,Екатеринбург,45000.0,50000.0,RUB
95,Аналитик отдела продаж,Миллениум,Ростов-на-Дону,30000.0,,RUB
96,Аналитик / Социолог / Маркетолог,ИНФОЛайн,"Санкт-Петербург,Приморская, Василеостровская",30000.0,,RUB
97,Аналитик по электронной торговле,"Глобус, Сеть гипермаркетов",Москва,,,
98,Кредитный аналитик (ГКДЗ),МЕГАПОЛИС,"Самара,Российская",23500.0,,RUB
99,Data scientist-Аналитик,НТИМИ,Москва,,,
100,Маркетолог-аналитик,Тараненко Игорь Витальевич,Старый Оскол,35000.0,,RUB
101,Помощник / Ассистент менеджера-аналитика,Леонардо,Москва,41000.0,43000.0,RUB
102,"Маркетолог, аналитик, менеджер по рекламе",ПРИМА,"Москва,Ховрино",60000.0,70000.0,RUB
103,Аналитик-координатор отдела продаж,Эником Невада групп,Хабаровск,,,
104,Маркетолог-аналитик,Радиостанция Серебряный дождь,"Москва,Динамо",,,
105,Менеджер-аналитик,«Группа ГУТА»,Москва,,,
106,Аналитик-методолог по торговым и производственным процессам,Металлокомплект-М,"Москва,Калужская",,,
107,Помощник руководителя (с функцией аналитика),Ангара-Реактив,Шушенское,100000.0,,RUB
108,Консультант-аналитик 1С,ТрастИнвест,"Москва,Нахимовский проспект",,,
109,Аналитик,«Группа ГУТА»,Москва,,,
110,Аналитик-программист,Сервис-Газификация,Екатеринбург,,,
111,Экономист-аналитик,Русский Аппетит,Воронеж,,,
112,Системный аналитик / Технический писатель,Группа Гута,Москва,90000.0,,RUB
113,Ведущий аналитик по исследованию рынков,Группа компаний IEK,"Москва,Царицыно, Бульвар Дмитрия Донского",82000.0,99000.0,RUB
114,Аналитик,Челны Логистик,Набережные Челны,20000.0,,RUB
115,Аналитик (департамент Логистики),Эником Невада групп,Хабаровск,,,
116,Бизнес-аналитик 1С,Диамед,Королев,,,
