,position,company,city,compensation_min,compensation_max,compensation_currency
0,Упаковщики в Аэропорт (Работа вахтой в Москве с проживанием),Сити-групп,Собинка,60400.0,,RUB
1,Фасовщица на птицефабрику (вахта),ТаксовичкоФ,Собинка,48000.0,,RUB
2,Комплектовщик склада СЕНТЕХ,JOBTIME,Собинка,32000.0,48000.0,RUB
3,Фасовщик / Фасовщица ланчей в аэропорт,Ворк Форс,Собинка,30000.0,40000.0,RUB
4,Стропальщик,Велес,Собинка,45000.0,,RUB
5,"Уборщица в мини-маркет (вахта, г. Москва)",Эксперт Ресурс Групп,Собинка,30000.0,,RUB
6,Сборщик бытовой техники (вахта),JOBTIME,Собинка,50000.0,51000.0,RUB
7,Разнорабочий,JOBTIME,Собинка,28000.0,29000.0,RUB
8,Грузчик,JOBTIME,Собинка,27000.0,37000.0,RUB
9,Водитель погрузчика,JOBTIME,Собинка,59000.0,60000.0,RUB
10,"Грузчик / Фасовщик на комбинат (вахта, проживание, обед)",Эксперт,Собинка,35000.0,40000.0,RUB
11,Комплектовщик на склад,JOBTIME,Собинка,38000.0,48000.0,RUB
12,Комплектовщик (вахта с проживанием в Москве),Сити-групп,Собинка,58400.0,,RUB
13,"Комплектовщик обедов (аэропорт, вахта, жилье, питание)",Эксперт,Собинка,37300.0,46000.0,RUB
14,Ведущий инженер отдела учета электроэнергии,Межрегиональная распределительная сетевая компания Центра и Приволжья,Собинка,28000.0,,RUB
15,Грузчик на кондитерское производство (вахта),Стафф Маркет,Собинка,35000.0,75000.0,RUB
16,Упаковщица с проживанием и питанием (вахта),Атлант Групп Центр,Собинка,50000.0,,RUB
17,Плотник,Полати,Собинка,90000.0,,RUB
18,Бетонщик-арматурщик,Полати,Собинка,90000.0,,RUB
19,Подсобный рабочий,Полати,Собинка,90000.0,,RUB
20,Монтажник,Полати,Собинка,90000.0,,RUB
21,"Упаковщик (детских товаров на складском комплексе, вахта с проживанием)",Сити-групп,Собинка,39850.0,,RUB
22,Арматурщик,Полати,Собинка,90000.0,,RUB
23,Разнорабочий,Полати,Собинка,90000.0,,RUB
24,Разнорабочий,Велес,Собинка,45000.0,,RUB
25,Грузчик (вахта с проживанием в Московской обл.),Master-Staff Group,Собинка,40000.0,,RUB
26,"Работник торгового зала (вахта, в Москве)",Атлант Групп Центр,Собинка,40000.0,44000.0,RUB
27,Повар-блинопек,Атлант Групп Центр,Собинка,51000.0,76500.0,RUB
28,Грузчик-комплектовщик на склад,Атлант Групп Центр,Собинка,36000.0,42000.0,RUB
29,Подсобный рабочий / Овощевод (вахта),Service Group,Собинка,52000.0,105000.0,RUB
30,Кассир,Эксперт Ресурс Групп,Собинка,35100.0,,RUB
31,Повар-кассир,Атлант Групп Центр,Собинка,57000.0,,RUB
32,"Кассир, продавец в минимаркет премиум класса",Атлант Групп Центр,Собинка,42000.0,52000.0,RUB
33,Комплектовщица бортового питания (вахта / проживание / питание),Единый Кадровый Центр,Собинка,76100.0,,RUB
34,"Упаковщик (на склад одежды, г. Москва, вахта, питание, проживание)",Атлант Групп Центр,Собинка,45000.0,,RUB
35,Камещик-облицовщик,Ресурс Групп,Собинка,72000.0,75000.0,RUB
36,Слесарь-ремонтник,АБИ Продакт,Собинка,23000.0,27000.0,RUB
37,Фасовщик (вахта в Московской области),Service Group,Собинка,105000.0,,RUB
38,Заточник,АБИ Продакт,Собинка,30000.0,,RUB
39,Рекрутер,Атлант Групп Центр,Собинка,25000.0,30000.0,RUB
40,"Токарь-универсал (5-6 разряд, г. Москва)",Легион,Собинка,70000.0,75000.0,RUB
41,"Упаковщик / Упаковщица шоколада (вахта, проживание)",Эксперт,Собинка,40000.0,,RUB
42,"Комплектовщик-грузчик (склад, проживание, вахта)",Эксперт Ресурс Групп,Собинка,45000.0,,RUB
43,Упаковщик-комплектовщик (вахта),Атлант Групп Центр,Собинка,49000.0,,RUB
44,Упаковщик,Атлант Групп Центр,Собинка,,,RUB
45,Наждачник,ОСК-Север,Собинка,43000.0,,RUB
46,Разнорабочий на производство,ОСК-Север,Собинка,35000.0,44000.0,RUB
47,Упаковщик на склад (работа вахтой),Единый Кадровый Центр,Собинка,39500.0,,RUB
48,Повар холодного цеха,ОМС,Собинка,21500.0,,RUB
49,Водитель автомобиля с КМУ (Ямал),Газстройпром,Собинка,75000.0,,RUB
50,Машинист бульдозера (Ямал),Газстройпром,Собинка,90000.0,,RUB
