,position,company,city,compensation_min,compensation_max,compensation_currency
0,Data Scientist,ООО Цифроматика,"Санкт-Петербург, Площадь Восстания",200000.0,,RUB
1,Data Scientist (NLP), M-soft,Киев,3000.0,4000.0,RUB
2,Data Scientist (NLP), M-soft,Минск,3000.0,4000.0,RUB
3,Data Scientist / Machine Learning Developer, CoolRocket Team,Новосибирск,,,
4,Аналитик данных / Data Scientist, Открытые Технологии,Москва,120000.0,180000.0,RUB
5,Data Scientist," Wargaming, Minsk (Game Stream)","Минск, Могилевская",,,
6,Data Scientist, Samsung Research Center,"Москва, Савеловская",,,
7,Data Scientist, Червоний маркет,"Киев, Берестейская",30000.0,,RUB
8,Data Scientist,ОАО Оммет,Омск,,,
9,Data scientist,ООО РУСАЛ-Центр учета,Красноярск,,,
10,ML Engineer / Data Scientist, FUSION CORE,"Москва, Сокол",,,
11,"Ведущий специалист / data scientist (big data, прогностическая аналитика, data mining)",ЗАО Прогностические решения,"Москва, Кузнецкий мост",150000.0,,RUB
12,Data Scientist (NLP), GlobalCareer,Москва,,,
13,Разработчик нейронных сетей (data scientist), Лаборатория НТР,Москва,,,
14,Data Scientist (Академгородок),ООО ЭЛСИ ГРУПП,Новосибирск,,,
15,Junior Data scientist,ООО МФК Займ Онлайн,"Москва, Динамо и еще 1 ",,,
16,Data scientist / Специалист машинного обучения, Банк ВТБ (ПАО),Москва,,,
17,Computer Vision / Data scientist CV, DeLight Group,Москва,,,
18,Руководитель направления по исследованию данных(Data Scientist), Сбербанк для экспертов,Москва,,,
19,Junior data analyst (Graduate Program), ИБМ Восточная Европа/Азия - IBM EE/A,Москва,,,
20,Junior data scientist, Сбербанк для экспертов,Москва,,,
21,Аналитик BI / Data scientist, FBS Inc.,Санкт-Петербург,,,
22,Data Scientist, COMPAREX,"Москва, Парк Победы",250000.0,,RUB
23,"Data Scientist, Machine Learning Engineer",ООО Квантидеск,Москва,,,
24,Data Scientist, Сбербанк для экспертов,"Москва, Кутузовская и еще 1 ",,,
25,Data scientist (NLP), Сбербанк для экспертов,"Москва, Новослободская",,,
26,Data Scientist," Лента, федеральная розничная сеть, Офис","Санкт-Петербург, Старая Деревня",,,
27,Data Analyst / Data Scientist, МодульБанк,"Москва, Дмитровская",180000.0,,RUB
28,Data scientist - engineer: Machine Learning/ Analytics/ Advanced Statistics, Sensoleak LTD,Москва,,,
29,Аналитик недвижимости/специалист по работе с данными/data scientist, Пульс Продаж Новостроек,Москва,,,
30,Исследователь данных / Data Scientist / Аналитик,ООО ДДОС ГВАРД,Ростов-на-Дону,,,
31,Junior Data scientist/ Middle data scientist,ООО ИК СИБИНТЕК,"Москва, Беговая",,,
