,position,company,city,compensation_min,compensation_max,compensation_currency
0,Менеджер ИТ-проектов (Бизнес-аналитик),Улыбка Радуги,"Санкт-Петербург,Электросила",,,
1,Аналитик отдела продаж,Ростелеком,Ижевск,43000.0,,RUB
2,Помощник аналитика,Леонардо,"Москва,Авиамоторная",50000.0,,RUB
3,Ведущий химик-аналитик,«Группа ГУТА»,Москва,69975.0,,RUB
4,Аналитик данных,Правительство Москвы,Москва,,,
5,Аналитик данных,Сбербанк России,Санкт-Петербург,,,
6,Системный аналитик,КРИТ,Ижевск,45000.0,,RUB
7,Аналитик,"АО ""Почта России""",Калуга,25000.0,,RUB
8,Аналитик систем бизнес-анализа,Росгосстрах,Краснодар,,,
9,Бизнес-аналитик 1С,Либхерр-Русланд,Москва,200000.0,,RUB
10,"Аналитик данных (SQL, JavaScript)",Роборокс,"Москва,Павелецкая",50000.0,,RUB
11,Программист-аналитик 1С,Кадровый Центр на Сокольнической Площади,Москва,76000.0,,RUB
12,Аналитик кухонного направления продаж,dmi Дятьково,Дятьково,30000.0,,RUB
13,Бизнес-аналитик,ГЛОРИЯ ДЖИНС,Москва,,,
14,Старший кредитный аналитик,Сбербанк России,Ессентуки,,,
15,Аналитик,Кредит Инкасо Рус,Рязань,,,
16,Аналитик по данным,Правительство Москвы,Москва,,,
17,Кредитный аналитик,Прио-Внешторгбанк,Рязань,26000.0,,RUB
18,Аналитик-тестировщик 1С,Кадровое агентство Юнити,Москва,140000.0,,RUB
19,Аналитик,Правительство Тульской области,Тула,30000.0,,RUB
20,Системный аналитик / Ведущий системный администратор,СДН (SDN),Санкт-Петербург,81000.0,,RUB
21,Аналитик-разработчик C#,Деловые Линии,"Санкт-Петербург,Московская",,,
22,Бизнес-аналитик отдела бизнес-анализа,ФГБОУ Тольяттинский государственный университет,Тольятти,30000.0,,RUB
23,Консультант-аналитик 1С,"НПФ ""Промавтоматика""",Рязань,,,
24,Аналитик группы по работе с клиентами,Ростелеком,Киров (Кировская область),24000.0,32000.0,RUB
25,Ведущий бизнес-аналитик 1С ERP,ЛУДИНГ,"Москва,Славянский бульвар",,,
26,Аналитик-разработчик 1С (ERP: направление Логистика),Компания SIMPLE,"Москва,Полежаевская, Хорошёвская и ещё 1 станция",,,
27,Аналитик отдела продаж,РосТурПласт,Коломна,50000.0,,RUB
28,Консультант-аналитик 1С,Бизнес Консалт,Москва,120000.0,150000.0,RUB
29,Аналитик по ИТ-сервисам,ИК СИБИНТЕК,Рязань,28500.0,,RUB
30,Бизнес-аналитик проекта,О'КЕЙ,"Москва,Улица Академика Янгеля",,,
31,Аналитик (HR),Дикси Групп,Москва,52200.0,57420.0,RUB
32,Аналитик базы данных (ведущий специалист),Правительство Москвы,"Москва,Полежаевская",53609.0,,RUB
33,Бизнес-аналитик 1С,Hoff,Клин,,,
34,Аналитик,Евросеть,Подольск,,,
35,Инвестиционный аналитик,МГТС,Москва,,,
36,Специалист по планированию межфилиальных перемещений / Аналитик,PepsiCo,Владивосток,,,
37,Экономист-аналитик,ППО ЭВТ имени В. А. Ревунова,Пенза,30000.0,,RUB
38,Аналитик,"ПКФ ""Экс-Форма""",Саратов,,,
39,Аналитик бизнес-процессов,Otto Group Russia,Тверь,,,
40,Аналитик,Сбербанк России,Новосибирск,,,
41,Аналитик отдела продаж (отопительное оборудование),Анкор,Москва,,,
